entry_idx,entry_price,entry_time,direction,signal,lot_size,stop_loss,take_profit,confidence,exit_type,exit_price,exit_time,exit_idx,pnl
322,98140.6875,2025-01-04 08:30:00,BUY,1,1.2,98140.6775,98140.7175,66.66666666666666,SL,97984.8625,2025-01-04 08:45:00,323,-119.99999993713573
323,97984.8625,2025-01-04 08:45:00,BUY,1,1.2,97984.85250000001,97984.8925,66.66666666666666,SL,97853.225,2025-01-04 09:00:00,324,-119.99999993713573
324,97853.225,2025-01-04 09:00:00,SELL,-1,1.2,97853.235,97853.195,66.66666666666666,TP,97796.5575,2025-01-04 09:15:00,325,359.99999998603016
325,97796.5575,2025-01-04 09:15:00,BUY,1,1.2,97796.5475,97796.5875,66.66666666666666,SL,97785.4825,2025-01-04 09:30:00,326,-119.99999993713573
326,97785.4825,2025-01-04 09:30:00,BUY,1,1.2,97785.4725,97785.5125,66.66666666666666,SL,97654.4825,2025-01-04 09:45:00,327,-119.99999993713573
327,97654.4825,2025-01-04 09:45:00,SELL,-1,1.2,97654.4925,97654.4525,66.66666666666666,TP,97647.82,2025-01-04 10:00:00,328,359.99999998603016
328,97647.82,2025-01-04 10:00:00,BUY,1,1.2,97647.81000000001,97647.85,66.66666666666666,TP,97652.555,2025-01-04 10:15:00,329,359.99999998603016
331,97762.9325,2025-01-04 10:45:00,SELL,-1,1.2,97762.94249999999,97762.9025,66.66666666666666,TP,97715.61,2025-01-04 11:00:00,332,359.99999998603016
336,97820.6625,2025-01-04 12:00:00,BUY,1,1.2,97820.65250000001,97820.6925,66.66666666666666,TP,97845.2375,2025-01-04 12:15:00,337,359.99999998603016
337,97845.2375,2025-01-04 12:15:00,SELL,-1,1.2,97845.2475,97845.2075,66.66666666666666,SL,97858.69999999998,2025-01-04 12:30:00,338,-119.99999993713573
338,97858.69999999998,2025-01-04 12:30:00,SELL,-1,1.2,97858.70999999998,97858.66999999998,100.0,TP,97814.915,2025-01-04 12:45:00,339,359.99999998603016
347,98006.105,2025-01-04 14:45:00,SELL,-1,1.2,98006.11499999999,98006.075,66.66666666666666,TP,97969.0325,2025-01-04 15:00:00,348,359.99999998603016
350,97684.7075,2025-01-04 15:30:00,BUY,1,1.2,97684.69750000001,97684.7375,66.66666666666666,SL,97609.8375,2025-01-04 15:45:00,351,-119.99999993713573
351,97609.8375,2025-01-04 15:45:00,BUY,1,1.2,97609.8275,97609.8675,66.66666666666666,TP,97674.58,2025-01-04 16:00:00,352,359.99999998603016
357,97754.055,2025-01-04 17:15:00,SELL,-1,1.2,97754.06499999999,97754.025,66.66666666666666,SL,97802.6375,2025-01-04 17:30:00,358,-119.99999993713573
358,97802.6375,2025-01-04 17:30:00,BUY,1,1.2,97802.6275,97802.6675,66.66666666666666,TP,97920.985,2025-01-04 17:45:00,359,359.99999998603016
359,97920.985,2025-01-04 17:45:00,BUY,1,1.2,97920.975,97921.015,66.66666666666666,TP,98000.2775,2025-01-04 18:00:00,360,359.99999998603016
360,98000.2775,2025-01-04 18:00:00,BUY,1,1.2,98000.2675,98000.3075,66.66666666666666,TP,98046.2225,2025-01-04 18:15:00,361,359.99999998603016
361,98046.2225,2025-01-04 18:15:00,SELL,-1,1.2,98046.2325,98046.1925,100.0,TP,98016.945,2025-01-04 18:30:00,362,359.99999998603016
370,98490.5575,2025-01-04 20:30:00,SELL,-1,1.2,98490.56749999999,98490.5275,66.66666666666666,SL,98554.5,2025-01-04 20:45:00,371,-119.99999993713573
371,98554.5,2025-01-04 20:45:00,SELL,-1,1.2,98554.51,98554.47,66.66666666666666,SL,98588.98,2025-01-04 21:00:00,372,-119.99999993713573
372,98588.98,2025-01-04 21:00:00,SELL,-1,1.2,98588.98999999999,98588.95,66.66666666666666,TP,98531.53,2025-01-04 21:15:00,373,359.99999998603016
375,98353.4375,2025-01-04 21:45:00,BUY,1,1.2,98353.4275,98353.4675,66.66666666666666,SL,98337.3025,2025-01-04 22:00:00,376,-119.99999993713573
376,98337.3025,2025-01-04 22:00:00,SELL,-1,1.2,98337.3125,98337.2725,66.66666666666666,TP,98277.7625,2025-01-04 22:15:00,377,359.99999998603016
377,98277.7625,2025-01-04 22:15:00,BUY,1,1.2,98277.7525,98277.7925,66.66666666666666,TP,98321.575,2025-01-04 22:30:00,378,359.99999998603016
384,98227.34249999998,2025-01-05 00:00:00,BUY,1,1.2,98227.33249999999,98227.37249999998,66.66666666666666,TP,98265.0975,2025-01-05 00:15:00,385,359.99999998603016
385,98265.0975,2025-01-05 00:15:00,SELL,-1,1.2,98265.1075,98265.0675,66.66666666666666,TP,98254.4875,2025-01-05 00:30:00,386,359.99999998603016
388,98211.855,2025-01-05 01:00:00,BUY,1,1.2,98211.845,98211.885,66.66666666666666,TP,98228.4175,2025-01-05 01:15:00,389,359.99999998603016
399,98083.3075,2025-01-05 03:45:00,BUY,1,1.2,98083.2975,98083.3375,100.0,TP,98203.375,2025-01-05 04:00:00,400,359.99999998603016
402,98372.85,2025-01-05 04:30:00,SELL,-1,1.2,98372.86,98372.82,66.66666666666666,TP,98313.9825,2025-01-05 04:45:00,403,359.99999998603016
411,98367.27,2025-01-05 06:45:00,BUY,1,1.2,98367.26000000001,98367.3,66.66666666666666,SL,98364.89500000002,2025-01-05 07:00:00,412,-119.99999993713573
414,98303.0575,2025-01-05 07:30:00,BUY,1,1.2,98303.0475,98303.0875,66.66666666666666,SL,98263.8225,2025-01-05 07:45:00,415,-119.99999993713573
415,98263.8225,2025-01-05 07:45:00,BUY,1,1.2,98263.8125,98263.8525,66.66666666666666,SL,98056.2325,2025-01-05 08:00:00,416,-119.99999993713573
416,98056.2325,2025-01-05 08:00:00,SELL,-1,1.2,98056.2425,98056.2025,66.66666666666666,TP,97850.5425,2025-01-05 08:15:00,417,359.99999998603016
417,97850.5425,2025-01-05 08:15:00,BUY,1,1.2,97850.5325,97850.5725,66.66666666666666,TP,97855.2875,2025-01-05 08:30:00,418,359.99999998603016
423,97733.9475,2025-01-05 09:45:00,BUY,1,1.2,97733.9375,97733.9775,66.66666666666666,SL,97645.9725,2025-01-05 10:00:00,424,-119.99999993713573
424,97645.9725,2025-01-05 10:00:00,BUY,1,1.2,97645.96250000001,97646.0025,66.66666666666666,SL,97620.615,2025-01-05 10:15:00,425,-119.99999993713573
425,97620.615,2025-01-05 10:15:00,BUY,1,1.2,97620.60500000001,97620.645,66.66666666666666,SL,97600.2575,2025-01-05 10:30:00,426,-119.99999993713573
426,97600.2575,2025-01-05 10:30:00,BUY,1,1.2,97600.24750000001,97600.2875,66.66666666666666,TP,97659.04,2025-01-05 10:45:00,427,359.99999998603016
429,97699.055,2025-01-05 11:15:00,SELL,-1,1.2,97699.06499999999,97699.025,66.66666666666666,TP,97648.68,2025-01-05 11:30:00,430,359.99999998603016
437,97876.6125,2025-01-05 13:15:00,BUY,1,1.2,97876.60250000001,97876.6425,66.66666666666666,TP,97909.695,2025-01-05 13:30:00,438,359.99999998603016
438,97909.695,2025-01-05 13:30:00,SELL,-1,1.2,97909.705,97909.66500000001,66.66666666666666,TP,97761.0875,2025-01-05 13:45:00,439,359.99999998603016
441,97465.6475,2025-01-05 14:15:00,BUY,1,1.2,97465.63750000001,97465.6775,66.66666666666666,TP,97507.675,2025-01-05 14:30:00,442,359.99999998603016
444,97868.385,2025-01-05 15:00:00,SELL,-1,1.2,97868.39499999999,97868.355,100.0,TP,97829.3125,2025-01-05 15:15:00,445,359.99999998603016
448,98125.895,2025-01-05 16:00:00,SELL,-1,1.2,98125.905,98125.865,66.66666666666666,TP,98121.9425,2025-01-05 16:15:00,449,359.99999998603016
454,97916.0475,2025-01-05 17:30:00,BUY,1,1.2,97916.0375,97916.0775,66.66666666666666,SL,97771.36500000002,2025-01-05 17:45:00,455,-119.99999993713573
455,97771.36500000002,2025-01-05 17:45:00,SELL,-1,1.2,97771.37500000001,97771.33500000002,66.66666666666666,TP,97684.7775,2025-01-05 18:00:00,456,359.99999998603016
456,97684.7775,2025-01-05 18:00:00,SELL,-1,1.2,97684.78749999999,97684.7475,66.66666666666666,TP,97674.12,2025-01-05 18:15:00,457,359.99999998603016
457,97674.12,2025-01-05 18:15:00,BUY,1,1.2,97674.11,97674.15,100.0,TP,97752.1375,2025-01-05 18:30:00,458,359.99999998603016
460,97945.9775,2025-01-05 19:00:00,BUY,1,1.2,97945.9675,97946.00749999999,66.66666666666666,TP,98031.305,2025-01-05 19:15:00,461,359.99999998603016
461,98031.305,2025-01-05 19:15:00,BUY,1,1.2,98031.295,98031.33499999999,66.66666666666666,SL,98015.9825,2025-01-05 19:30:00,462,-119.99999993713573
465,98350.76499999998,2025-01-05 20:15:00,BUY,1,1.2,98350.75499999999,98350.79499999998,66.66666666666666,TP,98398.1875,2025-01-05 20:30:00,466,359.99999998603016
466,98398.1875,2025-01-05 20:30:00,SELL,-1,1.2,98398.1975,98398.1575,100.0,TP,98261.96,2025-01-05 20:45:00,467,359.99999998603016
470,98352.2925,2025-01-05 21:30:00,SELL,-1,1.2,98352.30249999999,98352.2625,66.66666666666666,SL,98451.3725,2025-01-05 21:45:00,471,-119.99999993713573
471,98451.3725,2025-01-05 21:45:00,SELL,-1,1.2,98451.38249999999,98451.3425,100.0,TP,98418.445,2025-01-05 22:00:00,472,359.99999998603016
475,98620.785,2025-01-05 22:45:00,BUY,1,1.2,98620.77500000001,98620.815,66.66666666666666,TP,98627.525,2025-01-05 23:00:00,476,359.99999998603016
476,98627.525,2025-01-05 23:00:00,SELL,-1,1.2,98627.53499999999,98627.495,66.66666666666666,TP,98469.5375,2025-01-05 23:15:00,477,359.99999998603016
479,98374.0575,2025-01-05 23:45:00,BUY,1,1.2,98374.0475,98374.0875,100.0,TP,98437.6675,2025-01-06 00:00:00,480,359.99999998603016
484,98148.36,2025-01-06 01:00:00,SELL,-1,1.2,98148.37,98148.33,66.66666666666666,TP,98037.86,2025-01-06 01:15:00,485,359.99999998603016
485,98037.86,2025-01-06 01:15:00,BUY,1,1.2,98037.85,98037.89,66.66666666666666,TP,98174.88,2025-01-06 01:30:00,486,359.99999998603016
488,98930.6625,2025-01-06 02:00:00,BUY,1,1.2,98930.65250000001,98930.6925,66.66666666666666,SL,98836.2225,2025-01-06 02:15:00,489,-119.99999993713573
493,98970.435,2025-01-06 03:15:00,SELL,-1,1.2,98970.44499999999,98970.405,66.66666666666666,SL,99089.67,2025-01-06 03:30:00,494,-119.99999993713573
494,99089.67,2025-01-06 03:30:00,SELL,-1,1.2,99089.68,99089.64,66.66666666666666,TP,99031.3025,2025-01-06 03:45:00,495,359.99999998603016
540,100921.6125,2025-01-06 15:00:00,BUY,1,1.2,100921.60250000001,100921.6425,66.66666666666666,TP,101407.935,2025-01-06 15:15:00,541,359.99999998603016
541,101407.935,2025-01-06 15:15:00,BUY,1,1.2,101407.925,101407.965,66.66666666666666,TP,101829.1075,2025-01-06 15:30:00,542,359.99999998603016
542,101829.1075,2025-01-06 15:30:00,BUY,1,1.2,101829.0975,101829.1375,66.66666666666666,TP,102121.9,2025-01-06 15:45:00,543,359.99999998603016
594,101857.5225,2025-01-07 04:30:00,SELL,-1,1.2,101857.5325,101857.49250000001,100.0,TP,101749.5675,2025-01-07 04:45:00,595,359.99999998603016
601,101805.0875,2025-01-07 06:15:00,SELL,-1,1.2,101805.09749999999,101805.0575,66.66666666666666,SL,101839.1425,2025-01-07 06:30:00,602,-119.99999993713573
602,101839.1425,2025-01-07 06:30:00,SELL,-1,1.2,101839.1525,101839.1125,66.66666666666666,TP,101825.705,2025-01-07 06:45:00,603,359.99999998603016
607,101714.67,2025-01-07 07:45:00,BUY,1,1.2,101714.66,101714.7,66.66666666666666,SL,101679.785,2025-01-07 08:00:00,608,-119.99999993713573
608,101679.785,2025-01-07 08:00:00,BUY,1,1.2,101679.77500000001,101679.815,100.0,TP,101720.7625,2025-01-07 08:15:00,609,359.99999998603016
611,101900.5375,2025-01-07 08:45:00,SELL,-1,1.2,101900.5475,101900.5075,66.66666666666666,TP,101874.79,2025-01-07 09:00:00,612,359.99999998603016
614,101732.06,2025-01-07 09:30:00,BUY,1,1.2,101732.05,101732.09,66.66666666666666,SL,101707.4775,2025-01-07 09:45:00,615,-119.99999993713573
615,101707.4775,2025-01-07 09:45:00,BUY,1,1.2,101707.4675,101707.50749999999,66.66666666666666,SL,101573.7025,2025-01-07 10:00:00,616,-119.99999993713573
616,101573.7025,2025-01-07 10:00:00,SELL,-1,1.2,101573.7125,101573.6725,66.66666666666666,TP,101474.8975,2025-01-07 10:15:00,617,359.99999998603016
