entry_idx,entry_price,entry_time,entry_bar_time,direction,signal,lot_size,stop_loss,take_profit,tp_pips,cluster_density,confidence,open_bars,exit_idx,exit_price,exit_type,exit_time,pnl,days_open,bars_open
384,98227.34249999998,2025-01-05 00:00:00,2025-01-05 00:00:00,SELL,-1,1.2,98227.35249999998,98227.31107142856,314.2857142857143,0.2857142857142857,100,0,400,98203.375,TP,2025-01-05 04:00:00,377.1428571199067,0,16
400,98203.375,2025-01-05 04:00:00,2025-01-05 04:00:00,BUY,1,1.2,98203.365,98203.40928571428,342.8571428571429,0.35714285714285715,100,0,416,98203.365,SL,2025-01-05 08:00:00,-119.99999993713573,0,16
416,98056.2325,2025-01-05 08:00:00,2025-01-05 08:00:00,SELL,-1,1.2,98056.2425,98056.1963095238,361.9047619047619,0.40476190476190477,100,0,432,97621.81,TP,2025-01-05 12:00:00,434.2857143492438,0,16
480,98437.6675,2025-01-06 00:00:00,2025-01-06 00:00:00,BUY,1,1.2,98437.6575,98437.70527777777,377.77777777777777,0.4444444444444444,100,0,496,99132.0025,TP,2025-01-06 04:00:00,453.33333330927417,0,16
497,99275.88,2025-01-06 04:15:00,2025-01-06 04:15:00,BUY,1,1.2,99275.87000000001,99275.91825396825,382.53968253968253,0.45634920634920634,100,0,513,99430.855,TP,2025-01-06 08:15:00,459.0476189623587,0,16
513,99430.855,2025-01-06 08:15:00,2025-01-06 08:15:00,SELL,-1,1.2,99430.86499999999,99430.83134920635,236.5079365079365,0.09126984126984126,100,0,529,99430.86499999999,SL,2025-01-06 12:15:00,-119.99999993713573,0,16
577,102219.8675,2025-01-07 00:15:00,2025-01-07 00:15:00,BUY,1,1.2,102219.8575,102219.89321428571,257.1428571428571,0.14285714285714285,100,0,593,102219.8575,SL,2025-01-07 04:15:00,-119.99999993713573,0,16
595,101749.5675,2025-01-07 04:45:00,2025-01-07 04:45:00,BUY,1,1.2,101749.55750000001,101749.59607142858,285.7142857142857,0.21428571428571427,100,0,611,101900.5375,TP,2025-01-07 08:45:00,342.85714285215363,0,16
612,101874.79,2025-01-07 09:00:00,2025-01-07 09:00:00,SELL,-1,1.2,101874.79999999999,101874.75873015872,312.6984126984127,0.28174603174603174,100,0,628,100735.1,TP,2025-01-07 13:00:00,375.23809529375285,0,16
672,96927.735,2025-01-08 00:00:00,2025-01-08 00:00:00,BUY,1,1.2,96927.725,96927.76785714286,328.57142857142856,0.32142857142857145,100,0,688,96927.725,SL,2025-01-08 04:00:00,-119.99999993713573,0,16
