Time,Equity
2025-07-01 00:00:00,10000.0
2025-07-01 00:15:00,10479.999999923166
2025-07-01 00:30:00,10959.999999846332
2025-07-01 00:45:00,11439.999999769498
2025-07-01 01:00:00,11919.999999692664
2025-07-01 01:15:00,12399.99999961583
2025-07-01 01:30:00,12879.999999538995
2025-07-01 01:45:00,12759.99999960186
2025-07-01 02:00:00,13239.999999525025
2025-07-01 02:15:00,13719.999999448191
2025-07-01 02:30:00,14199.999999371357
2025-07-01 02:45:00,14079.999999434222
2025-07-01 03:00:00,13959.999999497086
2025-07-01 03:15:00,14439.999999420252
2025-07-01 03:30:00,14319.999999483116
2025-07-01 03:45:00,14199.99999954598
2025-07-01 04:00:00,14079.999999608845
2025-07-01 04:15:00,13959.999999671709
2025-07-01 04:30:00,14439.999999594875
2025-07-01 04:45:00,14925.714285345748
2025-07-01 05:00:00,15430.476190056652
2025-07-01 05:15:00,15954.285713902209
2025-07-01 05:30:00,15834.285713965073
2025-07-01 05:45:00,16398.095237731468
2025-07-01 06:00:00,16980.952380632516
2025-07-01 06:15:00,17348.571428272408
2025-07-01 06:30:00,17718.095237738453
2025-07-01 06:45:00,18087.6190472045
2025-07-01 07:00:00,17967.619047267362
2025-07-01 07:15:00,17847.619047330227
2025-07-01 07:30:00,18268.5714281979
2025-07-01 07:45:00,18769.523809081875
2025-07-01 08:00:00,19289.5238091005
2025-07-01 08:15:00,19847.61904721381
2025-07-01 08:30:00,20161.904761451297
2025-07-01 08:45:00,20514.285713783465
2025-07-01 09:00:00,20394.28571384633
2025-07-01 09:15:00,20274.285713909194
2025-07-01 09:30:00,20622.857142414432
2025-07-01 09:45:00,20969.523809093516
2025-07-01 10:00:00,21287.619047157932
2025-07-01 10:15:00,21626.666666183155
2025-07-01 10:30:00,21982.857142342255
2025-07-01 10:45:00,22525.714285147842
2025-07-01 11:00:00,22405.714285210706
2025-07-01 11:15:00,22285.71428527357
2025-07-01 11:30:00,22662.857142393477
2025-07-01 11:45:00,22542.85714245634
2025-07-01 12:00:00,22944.761904363986
2025-07-01 12:15:00,23377.142856712453
2025-07-01 12:30:00,23836.19047567481
2025-07-01 12:45:00,23716.190475737676
2025-07-01 13:00:00,23596.19047580054
2025-07-01 13:15:00,23476.190475863405
2025-07-01 13:30:00,23799.999999755528
2025-07-01 13:45:00,23679.999999818392
2025-07-01 14:00:00,23977.142856922
2025-07-01 14:15:00,23857.142856984865
2025-07-01 14:30:00,24198.095238010865
2025-07-01 14:45:00,24559.99999999767
2025-07-01 15:00:00,24440.000000060536
2025-07-01 15:15:00,24320.0000001234
2025-07-01 15:30:00,24200.000000186265
2025-07-01 15:45:00,24502.85714311758
2025-07-01 16:00:00,24382.857143180445
2025-07-01 16:15:00,24725.7142860326
2025-07-01 16:30:00,25095.238095498644
2025-07-01 16:45:00,24975.238095561508
2025-07-01 17:00:00,25445.71428600466
2025-07-01 17:15:00,25325.714286067523
2025-07-01 17:30:00,25838.095238432288
2025-07-01 17:45:00,26314.285714703146
2025-07-01 18:00:00,26809.523809934035
2025-07-01 18:15:00,27432.38095275592
2025-07-01 18:30:00,27312.380952818785
2025-07-01 18:45:00,27796.19047656888
2025-07-01 19:00:00,27676.190476631746
2025-07-01 19:15:00,27971.4285719092
2025-07-01 19:30:00,27851.428571972065
2025-07-01 19:45:00,27731.42857203493
2025-07-01 20:00:00,27611.428572097793
2025-07-01 20:15:00,27491.428572160657
2025-07-01 20:30:00,27820.952381705865
2025-07-01 20:45:00,27700.95238176873
2025-07-01 21:00:00,28030.476191313937
2025-07-01 21:15:00,28360.000000859145
2025-07-01 21:30:00,28689.523810404353
2025-07-01 21:45:00,29019.04761994956
2025-07-01 22:00:00,28899.047620012425
2025-07-01 22:15:00,28779.04762007529
2025-07-01 22:30:00,29108.571429620497
2025-07-01 22:45:00,29438.095239165705
2025-07-01 23:00:00,29318.09523922857
2025-07-01 23:15:00,29198.095239291433
2025-07-01 23:30:00,29527.61904883664
2025-07-01 23:45:00,29857.14285838185
2025-07-02 00:00:00,29737.142858444713
2025-07-02 00:15:00,30066.66666798992
2025-07-02 00:30:00,29946.666668052785
2025-07-02 00:45:00,30276.190477597993
2025-07-02 01:00:00,30156.190477660857
2025-07-02 01:15:00,30485.714287206065
2025-07-02 01:30:00,30815.238096751273
2025-07-02 01:45:00,30695.238096814137
2025-07-02 02:00:00,30575.238096877
2025-07-02 02:15:00,30904.76190642221
2025-07-02 02:30:00,31234.285715967417
2025-07-02 02:45:00,31114.28571603028
